PROFILING DEMO] Training for 10 steps with enhanced memory+timing profiler
[TRAIN] BATCH_SIZE=512, ACCUM_STEPS=1
[MEMORY] Enhanced MemoryMonitor: memory + timing enabled

🔥 Starting enhanced profiling (memory + timing)...

--- Step 1/10 ---
[PROFILE] ReLU6: in=[(512, 144, 56, 56)] -> out=(512, 144, 56, 56) | time=1.41 ms | drv used/total=22.11 GB/85.10 GB | pool used/total=10.83 GB/21.56 GB
[PROFILE] Pad: in=[(512, 144, 56, 56)] -> out=(512, 144, 58, 58) | time=5.97 ms | drv used/total=16.56 GB/85.10 GB | pool used/total=10.86 GB/16.01 GB
[PROFILE] SlidingWindowView: in=[(512, 144, 58, 58)] -> out=(512, 144, 56, 56, 3, 3) | time=1.72 ms | drv used/total=16.56 GB/85.10 GB | pool used/total=10.86 GB/16.01 GB
[PROFILE] Cast: in=[(144, 3, 3)] -> out=(144, 3, 3) | time=67.3 μs | drv used/total=16.56 GB/85.10 GB | pool used/total=10.86 GB/16.01 GB
[PROFILE] EinSum: in=[(512, 144, 56, 56, 3, 3), (144, 3, 3)] -> out=(512, 144, 56, 56) | time=43.33 ms | drv used/total=29.05 GB/85.10 GB | pool used/total=11.33 GB/28.49 GB
[PROFILE] Mean: in=[(512, 144, 56, 56)] -> out=(1, 144, 1, 1) | time=2.41 ms | drv used/total=29.05 GB/85.10 GB | pool used/total=11.33 GB/28.49 GB
[PROFILE] Var: in=[(512, 144, 56, 56)] -> out=(1, 144, 1, 1) | time=68.35 ms | drv used/total=29.05 GB/85.10 GB | pool used/total=11.33 GB/28.49 GB
[PROFILE] BatchNormalizer: in=[(512, 144, 56, 56), (1, 144, 1, 1), (1, 144, 1, 1), (1, 144, 1, 1), (1, 144, 1, 1)] -> out=(512, 144, 56, 56) | time=7.38 ms | drv used/total=29.05 GB/85.10 GB | pool used/total=11.79 GB/28.49 GB
[PROFILE] ReLU6: in=[(512, 144, 56, 56)] -> out=(512, 144, 56, 56) | time=1.41 ms | drv used/total=29.05 GB/85.10 GB | pool used/total=12.25 GB/28.49 GB
[PROFILE] SlidingWindowView: in=[(512, 144, 56, 56)] -> out=(512, 144, 56, 56, 1, 1) | time=317.4 μs | drv used/total=29.05 GB/85.10 GB | pool used/total=12.25 GB/28.49 GB
[PROFILE] Cast: in=[(24, 144, 1, 1)] -> out=(24, 144, 1, 1) | time=65.7 μs | drv used/total=29.05 GB/85.10 GB | pool used/total=12.25 GB/28.49 GB
[PROFILE] EinSum: in=[(512, 144, 56, 56, 1, 1), (24, 144, 1, 1)] -> out=(512, 24, 56, 56) | time=3.97 ms | drv used/total=29.05 GB/85.10 GB | pool used/total=12.33 GB/28.49 GB
[PROFILE] Mean: in=[(512, 24, 56, 56)] -> out=(1, 24, 1, 1) | time=2.14 ms | drv used/total=29.05 GB/85.10 GB | pool used/total=12.33 GB/28.49 GB
[PROFILE] Var: in=[(512, 24, 56, 56)] -> out=(1, 24, 1, 1) | time=36.71 ms | drv used/total=29.05 GB/85.10 GB | pool used/total=12.33 GB/28.49 GB
[PROFILE] BatchNormalizer: in=[(512, 24, 56, 56), (1, 24, 1, 1), (1, 24, 1, 1), (1, 24, 1, 1), (1, 24, 1, 1)] -> out=(512, 24, 56, 56) | time=1.34 ms | drv used/total=29.05 GB/85.10 GB | pool used/total=12.40 GB/28.49 GB
[PROFILE] Passthrough: in=[(512, 24, 56, 56)] -> out=(512, 24, 56, 56) | time=20.9 μs | drv used/total=29.05 GB/85.10 GB | pool used/total=12.40 GB/28.49 GB
[PROFILE] Add: in=[(512, 24, 56, 56), (512, 24, 56, 56)] -> out=(512, 24, 56, 56) | time=79.68 ms | drv used/total=29.05 GB/85.10 GB | pool used/total=12.48 GB/28.49 GB
[PROFILE] SlidingWindowView: in=[(512, 24, 56, 56)] -> out=(512, 24, 56, 56, 1, 1) | time=623.8 μs | drv used/total=29.05 GB/85.10 GB | pool used/total=12.48 GB/28.49 GB
[PROFILE] Cast: in=[(144, 24, 1, 1)] -> out=(144, 24, 1, 1) | time=77.9 μs | drv used/total=29.05 GB/85.10 GB | pool used/total=12.48 GB/28.49 GB
[PROFILE] EinSum: in=[(512, 24, 56, 56, 1, 1), (144, 24, 1, 1)] -> out=(512, 144, 56, 56) | time=2.98 ms | drv used/total=29.05 GB/85.10 GB | pool used/total=12.94 GB/28.49 GB
[PROFILE] Mean: in=[(512, 144, 56, 56)] -> out=(1, 144, 1, 1) | time=2.29 ms | drv used/total=29.05 GB/85.10 GB | pool used/total=12.94 GB/28.49 GB
