[PROFILING DEMO] Training for 10 steps with enhanced memory+timing profiler
[TRAIN] BATCH_SIZE=512, ACCUM_STEPS=1
[MEMORY] Enhanced MemoryMonitor: memory + timing enabled

🔥 Starting enhanced profiling (memory + timing)...

--- Step 1/10 ---
[PROFILE] ReLU6: in=[(512, 192, 28, 28)] -> out=(512, 192, 28, 28) | time=2.76 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=14.35 GB/21.32 GB
[PROFILE] Pad: in=[(512, 192, 28, 28)] -> out=(512, 192, 30, 30) | time=5.61 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=14.38 GB/21.32 GB
[PROFILE] SlidingWindowView: in=[(512, 192, 30, 30)] -> out=(512, 192, 28, 28, 3, 3) | time=11.67 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=14.38 GB/21.32 GB
[PROFILE] Cast: in=[(192, 3, 3)] -> out=(192, 3, 3) | time=72.9 μs | drv used/total=21.84 GB/85.10 GB | pool used/total=14.38 GB/21.32 GB
[PROFILE] EinSum: in=[(512, 192, 28, 28, 3, 3), (192, 3, 3)] -> out=(512, 192, 28, 28) | time=14.71 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=14.54 GB/21.32 GB
[PROFILE] Mean: in=[(512, 192, 28, 28)] -> out=(1, 192, 1, 1) | time=3.37 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=14.54 GB/21.32 GB
[PROFILE] Var: in=[(512, 192, 28, 28)] -> out=(1, 192, 1, 1) | time=4.07 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=14.54 GB/21.32 GB
[PROFILE] BatchNormalizer: in=[(512, 192, 28, 28), (1, 192, 1, 1), (1, 192, 1, 1), (1, 192, 1, 1), (1, 192, 1, 1)] -> out=(512, 192, 28, 28) | time=3.58 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=14.70 GB/21.32 GB
[PROFILE] ReLU6: in=[(512, 192, 28, 28)] -> out=(512, 192, 28, 28) | time=881.8 μs | drv used/total=21.84 GB/85.10 GB | pool used/total=14.86 GB/21.32 GB
[PROFILE] SlidingWindowView: in=[(512, 192, 28, 28)] -> out=(512, 192, 28, 28, 1, 1) | time=747.0 μs | drv used/total=21.84 GB/85.10 GB | pool used/total=14.86 GB/21.32 GB
[PROFILE] Cast: in=[(32, 192, 1, 1)] -> out=(32, 192, 1, 1) | time=76.0 μs | drv used/total=21.84 GB/85.10 GB | pool used/total=14.86 GB/21.32 GB
[PROFILE] EinSum: in=[(512, 192, 28, 28, 1, 1), (32, 192, 1, 1)] -> out=(512, 32, 28, 28) | time=1.52 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=14.88 GB/21.32 GB
[PROFILE] Mean: in=[(512, 32, 28, 28)] -> out=(1, 32, 1, 1) | time=802.3 μs | drv used/total=21.84 GB/85.10 GB | pool used/total=14.88 GB/21.32 GB
[PROFILE] Var: in=[(512, 32, 28, 28)] -> out=(1, 32, 1, 1) | time=3.42 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=14.88 GB/21.32 GB
[PROFILE] BatchNormalizer: in=[(512, 32, 28, 28), (1, 32, 1, 1), (1, 32, 1, 1), (1, 32, 1, 1), (1, 32, 1, 1)] -> out=(512, 32, 28, 28) | time=3.35 ms | drv used/total=21.84 GB/85.10 GB | pool used/total=14.91 GB/21.32 GB
[PROFILE] Passthrough: in=[(512, 32, 28, 28)] -> out=(512, 32, 28, 28) | time=34.0 μs | drv used/total=21.84 GB/85.10 GB | pool used/total=14.91 GB/21.32 GB
[PROFILE] Add: in=[(512, 32, 28, 28), (512, 32, 28, 28)] -> out=(512, 32, 28, 28) | time=155.7 μs | drv used/total=21.84 GB/85.10 GB | pool used/total=14.94 GB/21.32 GB
[PROFILE] SlidingWindowView: in=[(512, 32, 28, 28)] -> out=(512, 32, 28, 28, 1, 1) | time=815.1 μs | drv used/total=21.84 GB/85.10 GB | pool used/total=14.94 GB/21.32 GB
[PROFILE] Cast: in=[(192, 32, 1, 1)] -> out=(192, 32, 1, 1) | time=116.4 μs | drv used/total=21.84 GB/85.10 GB | pool used/total=14.94 GB/21.32 GB
